Unit;Tax;Currency;Geo;Zeit;Preis
Kilowatt-hour;All taxes and levies included;Euro;Austria;2020-S2;0.0656
Kilowatt-hour;All taxes and levies included;Euro;Austria;2021-S1;0.0636
Kilowatt-hour;All taxes and levies included;Euro;Austria;2021-S2;0.0695
Kilowatt-hour;All taxes and levies included;Euro;Austria;2022-S1;0.0767
Kilowatt-hour;All taxes and levies included;Euro;Austria;2022-S2;0.1235
Kilowatt-hour;All taxes and levies included;Euro;Austria;2023-S1;0.1560
Kilowatt-hour;All taxes and levies included;Euro;Austria;2023-S2;0.1477
Kilowatt-hour;All taxes and levies included;Euro;Austria;2024-S1;0.1379
Kilowatt-hour;All taxes and levies included;Euro;Austria;2024-S2;0.1237
Kilowatt-hour;All taxes and levies included;Euro;Austria;2025-S1;0.1220
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2020-S2;0.0498
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2021-S1;0.0468
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2021-S2;0.0676
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2022-S1;0.0943
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2022-S2;0.1363
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2023-S1;0.1146
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2023-S2;0.0994
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2024-S1;0.0801
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2024-S2;0.0903
Kilowatt-hour;All taxes and levies included;Euro;Belgium;2025-S1;0.0919
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2020-S2;0.0348
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2021-S1;0.0368
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2021-S2;0.0708
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2022-S1;0.0764
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2022-S2;0.1173
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2023-S1;0.0879
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2023-S2;0.0703
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2024-S1;0.0619
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2024-S2;0.0649
Kilowatt-hour;All taxes and levies included;Euro;Bulgaria;2025-S1;0.0765
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2020-S2;0.0558
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2021-S1;0.0562
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2021-S2;0.0554
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2022-S1;0.0696
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2022-S2;0.1066
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2023-S1;0.1138
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2023-S2;0.1125
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2024-S1;0.1085
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2024-S2;0.1029
Kilowatt-hour;All taxes and levies included;Euro;Czechia;2025-S1;0.0967
Kilowatt-hour;All taxes and levies included;Euro;Germany;2020-S2;0.0620
Kilowatt-hour;All taxes and levies included;Euro;Germany;2021-S1;0.0647
Kilowatt-hour;All taxes and levies included;Euro;Germany;2021-S2;0.0692
Kilowatt-hour;All taxes and levies included;Euro;Germany;2022-S1;0.0806
Kilowatt-hour;All taxes and levies included;Euro;Germany;2022-S2;0.0941
Kilowatt-hour;All taxes and levies included;Euro;Germany;2023-S1;0.1230
Kilowatt-hour;All taxes and levies included;Euro;Germany;2023-S2;0.1145
Kilowatt-hour;All taxes and levies included;Euro;Germany;2024-S1;0.1198
Kilowatt-hour;All taxes and levies included;Euro;Germany;2024-S2;0.1238
Kilowatt-hour;All taxes and levies included;Euro;Germany;2025-S1;0.1216
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2020-S2;0.0747
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2021-S1;0.0895
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2021-S2;0.1247
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2022-S1;0.1509
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2022-S2;0.2084
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2023-S1;0.1655
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2023-S2;0.1220
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2024-S1;0.1223
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2024-S2;0.1313
Kilowatt-hour;All taxes and levies included;Euro;Denmark;2025-S1;0.1306
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2020-S2;0.0411
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2021-S1;0.0435
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2021-S2;0.0750
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2022-S1;0.1106
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2022-S2;0.1089
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2023-S1;0.1099
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2023-S2;0.0791
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2024-S1;0.0691
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2024-S2;0.0788
Kilowatt-hour;All taxes and levies included;Euro;Estonia;2025-S1;0.0856
Kilowatt-hour;All taxes and levies included;Euro;Greece;2020-S2;0.0517
Kilowatt-hour;All taxes and levies included;Euro;Greece;2021-S1;0.0449
Kilowatt-hour;All taxes and levies included;Euro;Greece;2021-S2;0.1014
Kilowatt-hour;All taxes and levies included;Euro;Greece;2022-S1;0.0821
Kilowatt-hour;All taxes and levies included;Euro;Greece;2022-S2;0.1599
